SALES ,CLICKS,IMPS,Avg POS
0,1,92,8.2
0,3,127,7.2
0,4,169,7.1
0,2,134,7.7
0,2,161,7.5
0,3,120,6.3
0,1,90,7.5
0,1,74,7
0,1,127,7.3
0,2,138,7.1
0,3,145,7.6
0,2,151,6.8
0,1,78,6.8
0,2,111,6.6
0,2,110,6.3
0,4,193,6.8
0,3,159,6.7
0,3,168,6.9
0,3,245,5.9
0,2,186,6.3
0,9,175,5.9
0,7,221,5.9
0,2,143,5.7
0,6,206,5.3
0,3,186,6.6
0,7,236,5.9
0,1,26,11.4
0,5,152,6.1
0,3,198,5.6
0,3,113,6.2
0,7,185,6
0,3,201,6.2
0,3,142,6.9
0,2,166,6
0,1,2,10.5
0,1,9,1
0,1,16,1
0,1,5,1
0,1,5,1
0,1,25,1
0,1,7,1
0,1,9,1
0,1,4,1
0,3,89,1
0,4,83,1
0,3,81,1
0,1,4,1
0,1,7,1.3
0,1,4,1
0,2,6,1
0,3,9,1
0,1,2,1
0,1,17,1
0,6,46,1
1,4,44,1
0,3,40,1
1,4,27,1
0,2,31,1
0,2,43,1
0,1,25,1
1,4,56,1
1,4,54,1
0,3,20,1
0,8,58,1.1
0,1,33,1
0,2,29,1.1
0,1,41,1
0,3,28,1
0,4,42,1.1
0,2,22,1
0,1,55,1
0,1,20,1.1
0,4,28,1.1
0,1,12,1.3
0,1,27,1.1
0,1,23,1
0,1,38,1
1,1,16,1.2
0,4,58,1
0,3,49,1.1
0,3,37,1.1
0,3,46,1
0,7,63,1
0,3,44,1
0,5,57,1
0,2,49,1
0,1,39,1
0,7,53,1.1
1,5,36,1.1
0,3,54,1
0,4,82,1
0,2,91,1
0,2,94,1
0,3,104,1
1,3,166,1.1
0,1,142,1
1,4,141,1
0,4,137,1
0,6,112,1
0,3,60,1.1
0,5,56,1
1,3,25,1.1
0,1,40,3.6
0,1,22,5.6
0,1,46,3.2
0,3,43,3
0,1,14,5.3
0,2,19,5.2
0,1,21,2.7
0,1,49,2
0,1,19,6.2
0,2,25,3.2
0,1,35,2.5
0,1,71,2.3
0,4,56,2.2
0,1,70,2.4
0,2,61,2.1
0,1,72,1.9
0,2,51,2
0,1,51,1.9
0,2,94,1.9
0,3,72,2
0,2,68,1.8
0,1,146,8.6
0,1,62,8.9
0,1,70,7.8
0,3,116,7.3
0,4,164,9.1
0,1,26,19.1
0,5,230,10
0,1,81,17.9
0,4,299,9.7
0,3,255,10.8
0,5,280,8.8
0,1,38,17.5
0,4,255,10.6
0,4,348,8.8
0,7,792,7.1
0,2,192,8.7
0,6,1314,7.7
0,1,240,10
0,2,149,8.4
0,3,1200,6.9
0,1,142,13.6
0,2,111,14.2
0,4,795,7.5
0,2,203,8.6
0,4,631,7.4
0,1,90,10.3
0,1,163,9.9
0,5,319,7.5
0,1,86,5.9
0,7,416,7.4
0,9,638,7.6
0,3,295,7.5
0,8,498,7.7
0,7,1734,6.9
0,6,318,7.2
0,4,215,5.3
0,3,200,5.3
0,8,270,5.5
0,6,341,5.1
0,10,287,5.3
0,3,120,7.9
0,2,37,7.7
1,2,107,7.4
0,10,349,4.6
0,2,202,6.1
0,4,505,4.6
0,13,421,4.2
0,11,536,5.8
0,1,129,6.9
0,7,336,4.2
0,3,165,5.8
0,3,262,5.7
0,16,655,3.8
0,8,347,4.1
0,4,175,5
0,10,272,4.6
0,4,563,3.1
0,3,180,4.9
0,6,168,4.7
0,15,600,3.5
0,3,137,6.2
0,3,172,5.4
0,14,659,2.7
0,2,215,4
0,18,667,2.9
0,3,228,4.1
0,4,187,4.3
0,2,259,5.1
0,14,673,3
0,1,3,4
0,1,14,2.8
0,1,3,3
0,1,1,11
0,1,1,1
0,1,1,1
0,1,7,1.7
0,1,5,2.4
0,1,3,2
0,1,5,1.8
0,1,11,2.5
0,1,6,13.3
0,2,183,4
0,1,7,2.1
0,1,10,2.4
0,1,13,2.4
0,1,6,2.3
1,1,9,5.7
1,1,6,1.5
0,1,8,3.8
0,1,5,1.2
0,1,4,1.8
0,1,2,2
0,1,11,2
0,1,39,10.4
0,1,56,10.3
0,1,8,4
0,1,10,2.2
0,1,5,1.8
0,1,4,1.3
0,1,1,3
0,1,8,4.3
0,1,14,1.8
0,1,1,1
0,1,8,2.6
0,1,6,2.3
0,1,5,10.8
0,1,2,9
0,1,6,10
0,1,18,13.4
0,1,10,10.4
0,2,36,8.8
0,1,29,9.6
0,1,28,10.3
0,1,22,11.3
0,1,25,5.4
0,2,34,7.4
0,1,35,8.5
0,1,29,6.8
0,1,36,4
0,1,29,4.6
0,1,24,6.9
0,1,49,5.7
0,1,8,3.6
0,2,29,4.5
0,1,51,1.6
0,7,59,1.3
1,8,84,1.4
0,8,45,1.4
0,4,43,1.4
0,5,43,1.6
0,7,50,1.3
0,5,44,1.3
0,6,42,1.3
1,7,57,1.2
0,6,34,1.2
1,11,60,1.3
0,10,68,1.1
0,6,48,1.1
0,5,53,1.2
0,9,57,1.4
0,12,89,1.6
0,6,57,1.4
1,3,61,1.2
0,4,57,1.1
0,6,73,1
0,6,44,1
0,7,54,1.1
0,10,119,1.1
1,4,46,1.3
1,13,81,1
0,9,55,1.1
1,8,66,1.2
1,6,57,1.1
0,8,86,1
0,7,72,1
0,6,69,1.2
0,12,100,1.1
0,11,98,1.1
0,4,48,1.3
1,11,82,1.3
0,6,77,1.1
0,9,72,1.1
0,3,119,1.2
0,5,82,1.1
0,8,54,1.2
1,7,87,1.1
0,12,126,1.1
1,6,75,1.2
1,11,129,1.1
0,10,114,1.1
1,14,137,1.2
0,7,68,1.2
1,4,63,1.2
0,7,78,1.2
0,6,78,1.2
0,11,55,1
0,10,68,1.2
0,9,110,1
0,16,102,1.6
0,8,79,1.7
0,5,60,2
0,6,68,1.5
0,10,87,1.4
0,8,119,1.3
1,3,47,2.4
1,3,55,2.6
1,2,51,1.7
0,4,59,1.3
0,3,38,1.1
0,2,28,1.4
0,2,22,1.7
0,1,49,1.7
0,1,19,5.6
0,1,43,2.4
0,3,40,2.4
0,1,58,2.5
0,1,63,2.2
0,3,51,2.1
0,1,40,2.3
0,1,53,1.5
0,2,23,2
0,1,26,2.4
0,1,77,3.4
0,1,45,3.5
0,1,34,3.8
0,2,28,3.4
0,3,61,4.4
1,2,38,4.8
0,2,34,5
0,1,19,7.4
0,1,33,6.5
0,1,46,5.9
0,2,25,6.4
0,1,20,6.3
0,2,27,6.7
0,1,41,5
0,1,48,6
0,2,38,4.1
0,1,21,5
0,1,24,5.7
0,1,64,4.1
1,4,68,3.5
0,1,54,1.8
0,3,64,3.2
0,2,18,2.6
0,1,50,2.9
0,1,69,1.6
0,2,40,2.5
0,1,35,3.4
0,1,62,2.9
0,1,42,3.6
0,1,12,3
0,1,8,3
0,1,22,5.8
0,1,7,4.9
0,1,3,4.3
0,2,99,9.3
0,4,86,7.5
0,5,110,8.8
0,1,88,7.6
0,2,89,10.2
0,3,105,9.6
0,1,97,8.2
0,1,136,9.4
0,3,116,8.2
0,2,132,7.2
0,3,152,8.8
0,1,144,8.1
0,5,110,8.5
0,1,114,8.4
0,7,159,8.6
0,4,167,8.1
0,3,250,6.5
0,7,275,6.5
0,11,261,5.5
0,4,218,7.1
0,5,443,6.2
0,8,366,6.5
0,10,459,6.1
0,6,451,5.8
0,5,354,6.1
0,11,296,6.5
0,3,364,7
0,9,343,7
0,6,337,6.5
0,5,379,7
0,5,307,7
0,5,315,7.3
0,6,359,6.8
0,5,342,7.1
0,10,437,6.6
0,9,397,6.1
0,4,281,7
0,7,270,8.4
0,5,219,7.8
0,4,229,8.2
1,7,242,8
0,3,290,6.5
0,8,357,7
0,8,217,6.8
0,6,941,3
0,6,202,7.6
0,11,222,6.9
0,8,263,6.8
0,5,248,6.1
0,13,303,6.5
0,8,270,6.4
0,7,309,6.6
0,4,269,6.2
0,5,255,5.5
1,10,283,5.8
0,7,341,6.2
1,9,300,6.8
0,9,302,6.8
0,4,288,6.8
0,5,257,6.8
0,4,270,5.9
1,7,322,6.7
1,39,1239,2.5
1,37,1096,2.6
0,32,1042,2.5
0,33,991,2.5
1,30,898,2.4
0,6,252,5.6
0,10,375,5.8
1,3,270,7.3
0,45,1233,2.6
0,14,424,5.3
0,4,266,6.6
0,5,269,6.7
0,5,222,7.3
0,8,218,7.4
0,3,143,7.5
1,11,216,7.1
0,5,186,7.7
0,4,184,7
0,6,197,7.1
0,7,199,7.6
0,2,246,8.6
1,10,281,7.4
0,14,336,7.6
0,1,24,13.4
0,1,22,9.1
0,1,25,10.8
0,2,17,12.6
0,2,15,15.5
0,1,14,10.4
0,1,30,10.5
0,1,23,7.8
0,2,30,8.6
0,1,30,8.4
0,1,7,7.9
0,1,13,9.5
0,1,24,24.5
0,1,34,27.3
0,2,26,25.1
0,1,17,26.3
0,2,26,23.5
0,1,26,25.8
0,1,12,29.4
0,1,17,17.2
0,1,40,16.1
0,1,22,17.2
0,1,20,16.4
0,1,18,20.9
0,2,34,16.9
0,1,39,14.9
0,1,29,17.9
0,1,33,21.5
0,1,25,20
0,1,47,20.2
0,1,39,17.1
0,1,32,17.2
0,1,15,24.5
0,2,29,18.7
0,1,19,17.9
0,1,19,20.7
0,1,31,26.4
1,2,8,4
0,1,7,2.3
0,1,16,1.7
0,1,8,2
0,2,12,2.3
0,1,2,2
0,1,8,1.9
0,1,1,1
0,1,5,3
0,1,8,2.9
0,2,10,2.6
0,1,7,3.7
0,1,2,4
0,1,1,5
0,1,8,6.5
0,1,8,4
0,1,6,2.8
0,2,7,4.3
0,1,9,3
0,1,10,4.8
0,1,7,3.1
0,1,2,4
0,1,6,2.8
0,1,4,3.8
0,1,11,4.5
0,1,5,6.8
0,1,4,2
0,1,1,1
0,1,1,1
0,1,3,23
0,1,1,1
0,1,2,1.5
1,1,5,6.4
0,4,11,3.7
0,4,29,3.8
0,2,13,4.5
0,1,9,5.3
0,1,20,4.3
0,1,16,3.8
0,1,13,4.4
